EVENT,ev_lat,ev_lon,dep,NET_STA,st_lat,st_lon,Mw_RCMT,RR,vs30,sf,Tmax_s,pga,T0_010,T0_025,T0_040,T0_050,T0_070,T0_100,T0_150,T0_200,T0_250,T0_300,T0_350,T0_400,T0_450,T0_500,T0_600,T0_700,T0_750,T0_800,T0_900,T1_000,T1_200,T1_400,T1_600,T1_800,T2_000,T2_500,T3_000,T3_500,T4_000,T4_500,T5_000,T6_000,T7_000,T8_000,T9_000,T10_000,pgv
DE-1992-0010,47.702,8.287,33,EU.BFO,48.331,8.33,4.3132,70.012439101,917.9,NF,3.33333333333333,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436
DE-1992-0010,47.702,8.287,33,EU.DOS,47.62,7.853,4.3132,33.8498575855,657.1,NF,5,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883
DE-1992-0010,47.702,8.287,33,EU.EFR,47.665,7.564,4.3132,54.4387682486,982.9,NF,5,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706,0.00150367683418706
DE-1992-0010,47.702,8.287,33,EU.END,47.715,7.738,4.3132,41.2248398642,731.3,NF,5,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017,0.00620191467416017
DE-1992-0010,47.702,8.287,33,EU.GLO,48.058,7.964,4.3132,46.3734386191,1130,NF,5,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012,0.00222444068380012
DE-1992-0010,47.702,8.287,33,EU.HEX,48.021,8.15,4.3132,36.9204741719,1079.6,NF,5,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197,0.00511734509944197
DE-1992-0010,47.702,8.287,33,EU.KIR,47.957,7.919,4.3132,39.5348900462,591.4,NF,5,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838,0.00208912275314838
DE-1992-0010,47.702,8.287,33,EU.KRE,48.124,8.031,4.3132,50.673684659,1284.4,NF,5,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613,0.00161589139368613
DE-1992-0010,47.702,8.287,33,EU.SLB,47.697,7.898,4.3132,29.2027027769,880.5,NF,5,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143,0.0037657316363143
DE-1992-0010,47.702,8.287,33,EU.SOL,47.602,7.945,4.3132,27.995501967,696.7,NF,5,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898,0.0181374824537898
